source_pe,dest_pe,traffic
0,1,65536
1,2,65536
1,3,65536
2,3,65536
3,4,65536
3,5,65536
4,5,65536
5,8,32768
5,6,32768
6,7,32768
7,9,32768
7,10,16384
7,13,16384
8,7,32768
9,7,32768
10,11,16384
11,12,16384
12,14,16384
12,15,8192
12,17,8192
13,12,16384
14,12,16384
15,16,8192
16,18,8192
16,19,8192
17,16,8192
18,19,8192
19,20,512
