source_pe,dest_pe,traffic
0,1,32768
1,2,32768
2,3,65536
3,4,16384
4,5,32768
5,6,32768
6,7,8192
7,8,8192
8,9,16384
9,10,16384
10,11,4096
11,12,4096
12,13,8192
13,14,8192
14,15,8192
15,16,8192
16,17,8192
17,18,8192
18,19,8192
19,20,8192
20,21,8192
21,22,8192
22,23,2048
23,24,2048
24,25,4096
25,26,4096
26,27,1024
