# cycle i_ni i_router o_ni o_router vnet flit
65 17 17 34 10 1 8
65 5 5 34 10 0 8
65 10 10 44 20 0 8
65 10 10 43 19 1 8
65 19 19 40 16 0 8
65 16 16 26 2 0 8
65 16 16 37 13 1 8
65 16 16 25 1 1 8
65 20 20 40 16 0 8
65 2 2 40 16 0 8
65 13 13 35 11 0 8
65 11 11 32 8 0 8
65 8 8 39 15 0 8
65 8 8 31 7 1 8
65 8 8 30 6 1 8
65 1 1 32 8 0 8
65 15 15 32 8 0 8
65 7 7 38 14 0 8
65 14 14 28 4 0 8
65 14 14 24 0 1 8
65 6 6 38 14 0 8
65 4 4 24 0 0 8
73 12 12 27 3 0 8
73 3 3 33 9 0 8
73 3 3 41 17 1 8
73 9 9 41 17 0 8
73 17 17 29 5 0 8
73 17 17 34 10 1 8
73 5 5 34 10 0 8
73 10 10 44 20 0 8
73 10 10 43 19 1 8
73 19 19 40 16 0 8
73 16 16 26 2 0 8
73 16 16 37 13 1 8
73 16 16 25 1 1 8
73 20 20 40 16 0 8
73 2 2 40 16 0 8
73 13 13 35 11 0 8
73 11 11 32 8 0 8
73 8 8 39 15 0 8
73 8 8 31 7 1 8
73 8 8 30 6 1 8
73 1 1 32 8 0 8
73 15 15 32 8 0 8
73 7 7 38 14 0 8
73 14 14 28 4 0 8
73 14 14 24 0 1 8
73 6 6 38 14 0 8
73 4 4 24 0 0 8
81 12 12 27 3 0 8
81 3 3 33 9 0 8
81 3 3 41 17 1 8
81 9 9 41 17 0 8
81 17 17 29 5 0 8
81 17 17 34 10 1 8
81 5 5 34 10 0 8
81 10 10 44 20 0 8
81 10 10 43 19 1 8
81 19 19 40 16 0 8
81 16 16 26 2 0 8
81 16 16 37 13 1 8
81 16 16 25 1 1 8
81 20 20 40 16 0 8
81 2 2 40 16 0 8
81 13 13 35 11 0 8
81 11 11 32 8 0 8
81 8 8 39 15 0 8
81 8 8 31 7 1 8
81 8 8 30 6 1 8
81 1 1 32 8 0 8
81 15 15 32 8 0 8
81 7 7 38 14 0 8
81 14 14 28 4 0 8
81 14 14 24 0 1 8
81 6 6 38 14 0 8
81 4 4 24 0 0 8
89 12 12 27 3 0 8
89 3 3 33 9 0 8
89 3 3 41 17 1 8
89 9 9 41 17 0 8
89 17 17 29 5 0 8
89 17 17 34 10 1 8
89 5 5 34 10 0 8
89 10 10 44 20 0 8
89 10 10 43 19 1 8
89 19 19 40 16 0 8
89 16 16 26 2 0 8
89 16 16 37 13 1 8
89 16 16 25 1 1 8
89 20 20 40 16 0 8
89 2 2 40 16 0 8
89 13 13 35 11 0 8
89 11 11 32 8 0 8
89 8 8 39 15 0 8
89 8 8 31 7 1 8
89 8 8 30 6 1 8
89 1 1 32 8 0 8
89 15 15 32 8 0 8
89 7 7 38 14 0 8
89 14 14 28 4 0 8
89 14 14 24 0 1 8
89 6 6 38 14 0 8
89 4 4 24 0 0 8
97 12 12 27 3 0 8
97 3 3 33 9 0 8
97 3 3 41 17 1 8
97 9 9 41 17 0 8
97 17 17 29 5 0 8
97 17 17 34 10 1 8
97 5 5 34 10 0 8
