# cycle i_ni i_router o_ni o_router vnet flit
73 13 13 24 6 1 8
73 0 0 24 6 0 8
73 6 6 23 5 0 8
73 6 6 34 16 1 8
73 16 16 23 5 0 8
73 5 5 27 9 0 8
73 9 9 20 2 0 8
73 9 9 32 14 1 8
73 14 14 20 2 0 8
73 2 2 35 17 0 8
73 2 2 26 8 1 8
73 17 17 20 2 0 8
73 8 8 33 15 0 8
73 8 8 30 12 1 8
73 12 12 33 15 0 8
73 15 15 19 1 0 8
73 15 15 19 1 1 8
73 1 1 25 7 0 8
73 7 7 28 10 0 8
73 7 7 28 10 1 8
73 10 10 21 3 0 8
73 10 10 29 11 1 8
73 3 3 29 11 0 8
73 11 11 22 4 0 8
81 13 13 18 0 0 8
81 13 13 24 6 1 8
81 0 0 24 6 0 8
81 6 6 23 5 0 8
81 6 6 34 16 1 8
81 16 16 23 5 0 8
81 5 5 27 9 0 8
81 9 9 20 2 0 8
81 9 9 32 14 1 8
81 14 14 20 2 0 8
81 2 2 35 17 0 8
81 2 2 26 8 1 8
81 17 17 20 2 0 8
81 8 8 33 15 0 8
81 8 8 30 12 1 8
81 12 12 33 15 0 8
81 15 15 19 1 0 8
81 15 15 19 1 1 8
81 1 1 25 7 0 8
81 7 7 28 10 0 8
81 7 7 28 10 1 8
81 10 10 21 3 0 8
81 10 10 29 11 1 8
81 3 3 29 11 0 8
89 13 13 18 0 0 8
89 13 13 24 6 1 8
89 0 0 24 6 0 8
89 6 6 23 5 0 8
89 6 6 34 16 1 8
89 16 16 23 5 0 8
89 5 5 27 9 0 8
89 9 9 20 2 0 8
89 9 9 32 14 1 8
89 14 14 20 2 0 8
89 2 2 35 17 0 8
89 2 2 26 8 1 8
89 17 17 20 2 0 8
89 8 8 33 15 0 8
89 8 8 30 12 1 8
89 12 12 33 15 0 8
89 15 15 19 1 0 8
89 15 15 19 1 1 8
89 1 1 25 7 0 8
89 7 7 28 10 0 8
89 7 7 28 10 1 8
89 10 10 21 3 0 8
89 10 10 29 11 1 8
89 3 3 29 11 0 8
97 13 13 18 0 0 8
97 13 13 24 6 1 8
