# cycle i_ni i_router o_ni o_router vnet flit
65 1 1 37 7 0 8
65 7 7 41 11 0 8
65 11 11 40 10 0 8
65 10 10 45 15 0 8
65 15 15 47 17 0 8
65 17 17 42 12 0 8
65 12 12 49 19 0 8
65 19 19 57 27 0 8
65 27 27 30 0 0 8
65 0 0 32 2 0 8
65 2 2 56 26 0 8
65 26 26 55 25 0 8
65 25 25 34 4 0 8
65 4 4 36 6 0 8
65 6 6 33 3 0 8
65 3 3 51 21 0 8
65 21 21 46 16 0 8
73 9 9 52 22 0 8
73 22 22 43 13 0 8
73 13 13 54 24 0 8
73 24 24 48 18 0 8
73 18 18 35 5 0 8
73 5 5 53 23 0 8
73 23 23 44 14 0 8
73 14 14 38 8 0 8
73 8 8 50 20 0 8
73 20 20 31 1 0 8
73 1 1 37 7 0 8
73 7 7 41 11 0 8
73 11 11 40 10 0 8
73 10 10 45 15 0 8
73 15 15 47 17 0 8
73 17 17 42 12 0 8
73 12 12 49 19 0 8
73 19 19 57 27 0 8
73 27 27 30 0 0 8
73 0 0 32 2 0 8
73 2 2 56 26 0 8
73 26 26 55 25 0 8
73 25 25 34 4 0 8
73 4 4 36 6 0 8
73 6 6 33 3 0 8
73 3 3 51 21 0 8
73 21 21 46 16 0 8
81 9 9 52 22 0 8
81 22 22 43 13 0 8
81 13 13 54 24 0 8
81 24 24 48 18 0 8
81 18 18 35 5 0 8
81 5 5 53 23 0 8
81 23 23 44 14 0 8
81 14 14 38 8 0 8
81 8 8 50 20 0 8
81 20 20 31 1 0 8
81 1 1 37 7 0 8
81 7 7 41 11 0 8
81 11 11 40 10 0 8
81 10 10 45 15 0 8
81 15 15 47 17 0 8
81 17 17 42 12 0 8
81 12 12 49 19 0 8
81 19 19 57 27 0 8
81 27 27 30 0 0 8
81 0 0 32 2 0 8
81 2 2 56 26 0 8
81 26 26 55 25 0 8
81 25 25 34 4 0 8
81 4 4 36 6 0 8
81 6 6 33 3 0 8
81 3 3 51 21 0 8
81 21 21 46 16 0 8
89 9 9 52 22 0 8
89 22 22 43 13 0 8
89 13 13 54 24 0 8
89 24 24 48 18 0 8
89 18 18 35 5 0 8
89 5 5 53 23 0 8
89 23 23 44 14 0 8
89 14 14 38 8 0 8
89 8 8 50 20 0 8
89 20 20 31 1 0 8
89 1 1 37 7 0 8
89 7 7 41 11 0 8
89 11 11 40 10 0 8
89 10 10 45 15 0 8
89 15 15 47 17 0 8
89 17 17 42 12 0 8
89 12 12 49 19 0 8
89 19 19 57 27 0 8
89 27 27 30 0 0 8
89 0 0 32 2 0 8
89 2 2 56 26 0 8
89 26 26 55 25 0 8
89 25 25 34 4 0 8
89 4 4 36 6 0 8
89 6 6 33 3 0 8
89 3 3 51 21 0 8
89 21 21 46 16 0 8
97 9 9 52 22 0 8
97 22 22 43 13 0 8
97 13 13 54 24 0 8
97 24 24 48 18 0 8
97 18 18 35 5 0 8
97 5 5 53 23 0 8
97 23 23 44 14 0 8
97 14 14 38 8 0 8
97 8 8 50 20 0 8
97 20 20 31 1 0 8
97 1 1 37 7 0 8
97 7 7 41 11 0 8
97 11 11 40 10 0 8
97 10 10 45 15 0 8
97 15 15 47 17 0 8
97 17 17 42 12 0 8
97 12 12 49 19 0 8
97 19 19 57 27 0 8
97 27 27 30 0 0 8
97 0 0 32 2 0 8
97 2 2 56 26 0 8
97 26 26 55 25 0 8
97 25 25 34 4 0 8
97 4 4 36 6 0 8
97 6 6 33 3 0 8
97 3 3 51 21 0 8
97 21 21 46 16 0 8
105 9 9 52 22 0 8
105 22 22 43 13 0 8
105 13 13 54 24 0 8
105 24 24 48 18 0 8
105 18 18 35 5 0 8
105 5 5 53 23 0 8
105 23 23 44 14 0 8
105 14 14 38 8 0 8
105 8 8 50 20 0 8
105 20 20 31 1 0 8
105 1 1 37 7 0 8
105 7 7 41 11 0 8
105 11 11 40 10 0 8
105 10 10 45 15 0 8
105 15 15 47 17 0 8
105 17 17 42 12 0 8
105 12 12 49 19 0 8
105 19 19 57 27 0 8
105 27 27 30 0 0 8
105 0 0 32 2 0 8
105 2 2 56 26 0 8
105 26 26 55 25 0 8
105 25 25 34 4 0 8
105 4 4 36 6 0 8
105 6 6 33 3 0 8
