# cycle i_ni i_router o_ni o_router vnet flit
113 8 8 27 9 0 8
113 9 9 20 2 0 8
113 2 2 18 0 0 8
121 13 13 35 17 0 8
121 17 17 25 7 0 8
121 7 7 33 15 0 8
121 15 15 34 16 0 8
121 16 16 22 4 0 8
121 4 4 19 1 0 8
121 1 1 29 11 0 8
121 11 11 28 10 0 8
121 10 10 23 5 0 8
121 5 5 21 3 0 8
121 3 3 24 6 0 8
121 6 6 26 8 0 8
121 8 8 27 9 0 8
121 9 9 20 2 0 8
121 2 2 18 0 0 8
129 13 13 35 17 0 8
129 17 17 25 7 0 8
129 7 7 33 15 0 8
129 15 15 34 16 0 8
129 16 16 22 4 0 8
129 4 4 19 1 0 8
129 1 1 29 11 0 8
129 11 11 28 10 0 8
129 10 10 23 5 0 8
129 5 5 21 3 0 8
129 3 3 24 6 0 8
137 13 13 35 17 0 8
137 17 17 25 7 0 8
137 7 7 33 15 0 8
137 15 15 34 16 0 8
137 16 16 22 4 0 8
137 4 4 19 1 0 8
137 1 1 29 11 0 8
137 11 11 28 10 0 8
137 10 10 23 5 0 8
137 5 5 21 3 0 8
137 3 3 24 6 0 8
145 13 13 35 17 0 8
145 17 17 25 7 0 8
145 7 7 33 15 0 8
145 15 15 34 16 0 8
145 16 16 22 4 0 8
145 4 4 19 1 0 8
145 1 1 29 11 0 8
145 11 11 28 10 0 8
145 10 10 23 5 0 8
145 5 5 21 3 0 8
145 3 3 24 6 0 8
153 13 13 35 17 0 8
153 17 17 25 7 0 8
153 7 7 33 15 0 8
153 15 15 34 16 0 8
153 16 16 22 4 0 8
153 4 4 19 1 0 8
153 1 1 29 11 0 8
153 11 11 28 10 0 8
153 10 10 23 5 0 8
153 5 5 21 3 0 8
153 3 3 24 6 0 8
161 13 13 35 17 0 8
161 17 17 25 7 0 8
161 7 7 33 15 0 8
161 15 15 34 16 0 8
161 16 16 22 4 0 8
161 4 4 19 1 0 8
161 1 1 29 11 0 8
161 11 11 28 10 0 8
161 10 10 23 5 0 8
161 5 5 21 3 0 8
161 3 3 24 6 0 8
169 13 13 35 17 0 8
169 17 17 25 7 0 8
169 7 7 33 15 0 8
169 15 15 34 16 0 8
169 16 16 22 4 0 8
169 4 4 19 1 0 8
169 1 1 29 11 0 8
169 11 11 28 10 0 8
169 10 10 23 5 0 8
169 5 5 21 3 0 8
169 3 3 24 6 0 8
177 13 13 35 17 0 8
177 17 17 25 7 0 8
177 7 7 33 15 0 8
177 15 15 34 16 0 8
177 16 16 22 4 0 8
177 4 4 19 1 0 8
177 1 1 29 11 0 8
177 11 11 28 10 0 8
177 10 10 23 5 0 8
177 5 5 21 3 0 8
177 3 3 24 6 0 8
185 13 13 35 17 0 8
185 17 17 25 7 0 8
185 7 7 33 15 0 8
185 15 15 34 16 0 8
185 16 16 22 4 0 8
185 4 4 19 1 0 8
185 1 1 29 11 0 8
185 11 11 28 10 0 8
185 10 10 23 5 0 8
185 5 5 21 3 0 8
185 3 3 24 6 0 8
193 13 13 35 17 0 8
193 17 17 25 7 0 8
193 7 7 33 15 0 8
193 15 15 34 16 0 8
193 16 16 22 4 0 8
193 4 4 19 1 0 8
193 1 1 29 11 0 8
193 11 11 28 10 0 8
193 10 10 23 5 0 8
