# cycle i_ni i_router o_ni o_router vnet flit
17 31 31 232 112 0 8
17 46 46 175 55 0 8
17 55 55 179 59 0 8
17 55 55 226 106 1 8
17 59 59 226 106 0 8
17 106 106 233 113 0 8
17 106 106 156 36 1 8
17 113 113 205 85 0 8
17 85 85 156 36 0 8
17 36 36 199 79 0 8
17 36 36 199 79 1 8
17 79 79 207 87 0 8
17 79 79 130 10 1 8
17 87 87 130 10 0 8
17 10 10 146 26 0 8
17 10 10 143 23 1 8
17 26 26 137 17 0 8
17 17 17 143 23 0 8
17 23 23 222 102 0 8
17 23 23 222 102 1 8
17 102 102 177 57 0 8
17 57 57 164 44 0 8
17 44 44 153 33 0 8
17 44 44 153 33 1 8
17 33 33 187 67 0 8
17 33 33 204 84 1 8
17 67 67 204 84 0 8
17 84 84 152 32 0 8
17 84 84 229 109 1 8
17 84 84 168 48 1 8
17 32 32 194 74 0 8
17 74 74 204 84 0 8
17 109 109 184 64 0 8
17 64 64 168 48 0 8
17 48 48 132 12 0 8
17 48 48 123 3 1 8
17 48 48 129 9 1 8
17 48 48 189 69 1 8
17 12 12 168 48 0 8
17 3 3 159 39 0 8
17 39 39 168 48 0 8
17 9 9 189 69 0 8
17 69 69 182 62 0 8
17 69 69 145 25 1 8
17 25 25 182 62 0 8
17 62 62 124 4 0 8
17 62 62 140 20 1 8
17 62 62 141 21 1 8
17 62 62 200 80 1 8
17 4 4 206 86 0 8
17 86 86 182 62 0 8
17 20 20 134 14 0 8
17 14 14 182 62 0 8
17 80 80 141 21 0 8
17 21 21 215 95 0 8
17 21 21 238 118 1 8
17 21 21 181 61 1 8
17 95 95 234 114 0 8
17 114 114 141 21 0 8
17 118 118 147 27 0 8
17 27 27 181 61 0 8
17 61 61 210 90 0 8
17 61 61 210 90 1 8
17 90 90 195 75 0 8
17 90 90 212 92 1 8
17 90 90 235 115 1 8
17 75 75 125 5 0 8
17 5 5 210 90 0 8
17 92 92 235 115 0 8
17 115 115 127 7 0 8
17 115 115 223 103 1 8
17 7 7 223 103 0 8
17 103 103 219 99 0 8
17 103 103 149 29 1 8
17 99 99 149 29 0 8
17 29 29 157 37 0 8
17 29 29 221 101 1 8
17 101 101 157 37 0 8
17 37 37 213 93 0 8
17 37 37 198 78 1 8
17 78 78 213 93 0 8
17 93 93 188 68 0 8
17 93 93 173 53 1 8
17 68 68 173 53 0 8
17 53 53 190 70 0 8
17 53 53 211 91 1 8
17 53 53 230 110 1 8
17 53 53 150 30 1 8
17 70 70 231 111 0 8
17 111 111 173 53 0 8
17 91 91 172 52 0 8
17 52 52 173 53 0 8
17 110 110 150 30 0 8
17 30 30 128 8 0 8
17 8 8 161 41 0 8
17 8 8 165 45 1 8
17 41 41 165 45 0 8
17 45 45 171 51 0 8
17 45 45 185 65 1 8
17 45 45 154 34 1 8
17 51 51 216 96 0 8
17 96 96 165 45 0 8
17 65 65 154 34 0 8
17 34 34 131 11 0 8
17 34 34 138 18 1 8
17 34 34 121 1 1 8
17 11 11 120 0 0 8
17 0 0 154 34 0 8
17 18 18 121 1 0 8
17 1 1 162 42 0 8
17 1 1 142 22 1 8
17 22 22 162 42 0 8
17 42 42 201 81 0 8
17 42 42 225 105 1 8
17 42 42 217 97 1 8
17 42 42 220 100 1 8
17 42 42 144 24 1 8
17 42 42 167 47 1 8
17 81 81 176 56 0 8
17 56 56 162 42 0 8
17 105 105 174 54 0 8
17 54 54 162 42 0 8
17 97 97 178 58 0 8
17 58 58 162 42 0 8
17 100 100 237 117 0 8
17 117 117 162 42 0 8
17 24 24 167 47 0 8
17 47 47 227 107 0 8
17 47 47 155 35 1 8
17 107 107 202 82 0 8
17 82 82 155 35 0 8
17 35 35 158 38 0 8
17 35 35 158 38 1 8
17 38 38 186 66 0 8
